time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-03-30T08:11:37.502Z,60.0801,-152.255,65.8,1,ml,,,,0.1,ak,ak18835571,2018-03-30T08:15:22.575Z,"41km NW of Anchor Point, Alaska",earthquake,,2.9,,,automatic,ak,ak
2018-03-30T08:05:44.220Z,35.9361667,-117.6583333,2.29,1.02,ml,15,59,0.01337,0.13,ci,ci37902751,2018-03-30T08:09:27.063Z,"22km E of Little Lake, CA",earthquake,0.22,0.23,0.153,15,automatic,ci,ci
2018-03-30T08:03:36.520Z,36.6315002,-121.2350006,3.6,1.32,md,9,228,0.06707,0.08,nc,nc72991610,2018-03-30T08:16:02.952Z,"14km NW of Pinnacles, CA",earthquake,1.15,3.53,0.25,5,automatic,nc,nc
2018-03-30T08:02:48.173Z,64.9727,-147.4211,18.7,0.2,ml,,,,0.51,ak,ak18835570,2018-03-30T08:06:25.001Z,"19km NNE of Badger, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-03-30T08:00:16.510Z,38.1279984,-118.8693314,2.53,1.7,md,10,227,0.3124,0.06,nc,nc72991605,2018-03-30T08:09:02.907Z,"16km SE of Bodie, CA",earthquake,2.47,9.58,0.4,2,automatic,nc,nc
2018-03-30T07:23:55.100Z,-30.5909,-71.6586,25.74,4.3,mwr,,86,0.085,0.87,us,us1000dbbe,2018-03-30T07:40:20.040Z,"43km W of Ovalle, Chile",earthquake,3.4,2.4,0.04,61,reviewed,us,us
2018-03-30T07:18:05.792Z,64.9101,-149.0515,22.2,0.7,ml,,,,0.86,ak,ak18835554,2018-03-30T07:25:57.151Z,"37km N of North Nenana, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-03-30T07:01:14.550Z,-3.3862,130.9855,35.89,5.1,mb,,62,1.344,0.7,us,us1000dbba,2018-03-30T07:18:35.040Z,"229km E of Amahai, Indonesia",earthquake,6.5,6.8,0.066,75,reviewed,us,us
2018-03-30T06:59:21.890Z,19.2310009,-155.5091705,32.75,1.89,md,46,63,0.01979,0.16,hv,hv70066106,2018-03-30T07:02:52.750Z,"4km NW of Pahala, Hawaii",earthquake,0.53,0.79,0.12,17,automatic,hv,hv
2018-03-30T06:50:03.810Z,-4.7918,144.216,109.64,4.5,mb,,124,4.164,0.58,us,us1000dbb8,2018-03-30T07:10:40.040Z,"82km SSE of Angoram, Papua New Guinea",earthquake,11.5,9.6,0.085,41,reviewed,us,us
2018-03-30T06:47:56.491Z,61.5885,-151.9965,5.3,0.4,ml,,,,0.17,ak,ak18834377,2018-03-30T06:51:06.370Z,"105km W of Willow, Alaska",earthquake,,6.3,,,automatic,ak,ak
2018-03-30T06:39:56.400Z,36.9891663,-121.651001,4.72,2.47,md,52,40,0.05427,0.1,nc,nc72991580,2018-03-30T07:37:08.219Z,"8km WSW of Gilroy, CA",earthquake,0.17,0.4,0.12,60,automatic,nc,nc
2018-03-30T06:36:06.250Z,33.5198333,-116.7341667,11.14,0.39,ml,15,52,0.04552,0.19,ci,ci37902727,2018-03-30T06:39:52.988Z,"7km SW of Anza, CA",earthquake,0.46,0.76,0.103,13,automatic,ci,ci
2018-03-30T06:23:47.140Z,36.0388333,-117.8138333,0.89,0.88,ml,9,105,0.04165,0.12,ci,ci37902719,2018-03-30T06:27:32.309Z,"12km E of Coso Junction, CA",earthquake,0.28,0.5,0.173,11,automatic,ci,ci
2018-03-30T06:20:30.730Z,19.0905,-66.4448,28,2.56,md,4,340,0.8055,0.2,pr,pr2018089001,2018-03-30T08:20:18.554Z,"69km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,3.06,13.27,0.16,4,reviewed,pr,pr
2018-03-30T06:09:18.925Z,62.1934,-149.0606,34,1.2,ml,,,,0.77,ak,ak18834368,2018-03-30T06:17:52.433Z,"41km E of Y, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-03-30T06:03:55.899Z,62.3522,-149.1807,0,1.4,ml,,,,0.55,ak,ak18834336,2018-03-30T06:08:13.068Z,"40km ENE of Y, Alaska",earthquake,,0.2,,,automatic,ak,ak
